"Entity code","Entity","Entity type","Income group (World Bank, July 2015)","Region (IMF, April 2015)"
"ALB","Albania","Economy","Upper-middle income","Emerging and Developing Europe"
"DZA","Algeria","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"AGO","Angola","Economy","Upper-middle income","Sub-Saharan Africa"
"ARG","Argentina","Economy","High income","Latin America and the Caribbean"
"ARM","Armenia","Economy","Lower-middle income","Commonwealth of Independent States"
"AUS","Australia","Economy","High income","Advanced economies"
"AUT","Austria","Economy","High income","Advanced economies"
"AZE","Azerbaijan","Economy","Upper-middle income","Commonwealth of Independent States"
"BHR","Bahrain","Economy","High income","Middle East, North Africa, and Pakistan"
"BGD","Bangladesh","Economy","Lower-middle income","Emerging and Developing Asia"
"BRB","Barbados","Economy","High income","Latin America and the Caribbean"
"BEL","Belgium","Economy","High income","Advanced economies"
"BLZ","Belize","Economy","Upper-middle income","Latin America and the Caribbean"
"BEN","Benin","Economy","Low income","Sub-Saharan Africa"
"BTN","Bhutan","Economy","Lower-middle income","Emerging and Developing Asia"
"BOL","Bolivia","Economy","Lower-middle income","Latin America and the Caribbean"
"BIH","Bosnia and Herzegovina","Economy","Upper-middle income","Emerging and Developing Europe"
"BWA","Botswana","Economy","Upper-middle income","Sub-Saharan Africa"
"BRA","Brazil","Economy","Upper-middle income","Latin America and the Caribbean"
"BRN","Brunei Darussalam","Economy","High income","Emerging and Developing Asia"
"BGR","Bulgaria","Economy","Upper-middle income","Emerging and Developing Europe"
"BFA","Burkina Faso","Economy","Low income","Sub-Saharan Africa"
"BDI","Burundi","Economy","Low income","Sub-Saharan Africa"
"KHM","Cambodia","Economy","Low income","Emerging and Developing Asia"
"CMR","Cameroon","Economy","Lower-middle income","Sub-Saharan Africa"
"CAN","Canada","Economy","High income","Advanced economies"
"CPV","Cape Verde","Economy","Lower-middle income","Sub-Saharan Africa"
"TCD","Chad","Economy","Low income","Sub-Saharan Africa"
"CHL","Chile","Economy","High income","Latin America and the Caribbean"
"CHN","China","Economy","Upper-middle income","Emerging and Developing Asia"
"COL","Colombia","Economy","Upper-middle income","Latin America and the Caribbean"
"CRI","Costa Rica","Economy","Upper-middle income","Latin America and the Caribbean"
"CIV","C̫te d'Ivoire","Economy","Lower-middle income","Sub-Saharan Africa"
"HRV","Croatia","Economy","High income","Emerging and Developing Europe"
"CYP","Cyprus","Economy","High income","Advanced economies"
"CZE","Czech Republic","Economy","High income","Advanced economies"
"DNK","Denmark","Economy","High income","Advanced economies"
"DOM","Dominican Republic","Economy","Upper-middle income","Latin America and the Caribbean"
"ECU","Ecuador","Economy","Upper-middle income","Latin America and the Caribbean"
"EGY","Egypt","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"SLV","El Salvador","Economy","Lower-middle income","Latin America and the Caribbean"
"EST","Estonia","Economy","High income","Advanced economies"
"ETH","Ethiopia","Economy","Low income","Sub-Saharan Africa"
"FIN","Finland","Economy","High income","Advanced economies"
"FRA","France","Economy","High income","Advanced economies"
"GAB","Gabon","Economy","Upper-middle income","Sub-Saharan Africa"
"GMB","Gambia, The","Economy","Low income","Sub-Saharan Africa"
"GEO","Georgia","Economy","Lower-middle income","Commonwealth of Independent States"
"DEU","Germany","Economy","High income","Advanced economies"
"GHA","Ghana","Economy","Lower-middle income","Sub-Saharan Africa"
"GRC","Greece","Economy","High income","Advanced economies"
"GTM","Guatemala","Economy","Lower-middle income","Latin America and the Caribbean"
"GIN","Guinea","Economy","Low income","Sub-Saharan Africa"
"GUY","Guyana","Economy","Lower-middle income","Latin America and the Caribbean"
"HTI","Haiti","Economy","Low income","Latin America and the Caribbean"
"HND","Honduras","Economy","Lower-middle income","Latin America and the Caribbean"
"HKG","Hong Kong SAR","Economy","High income","Advanced economies"
"HUN","Hungary","Economy","High income","Emerging and Developing Europe"
"ISL","Iceland","Economy","High income","Advanced economies"
"IND","India","Economy","Lower-middle income","Emerging and Developing Asia"
"IDN","Indonesia","Economy","Lower-middle income","Emerging and Developing Asia"
"IRN","Iran, Islamic Rep.","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"IRL","Ireland","Economy","High income","Advanced economies"
"ISR","Israel","Economy","High income","Advanced economies"
"ITA","Italy","Economy","High income","Advanced economies"
"JAM","Jamaica","Economy","Upper-middle income","Latin America and the Caribbean"
"JPN","Japan","Economy","High income","Advanced economies"
"JOR","Jordan","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"KAZ","Kazakhstan","Economy","Upper-middle income","Commonwealth of Independent States"
"KEN","Kenya","Economy","Lower-middle income","Sub-Saharan Africa"
"KOR","Korea, Rep.","Economy","High income","Advanced economies"
"KWT","Kuwait","Economy","High income","Middle East, North Africa, and Pakistan"
"KGZ","Kyrgyz Republic","Economy","Lower-middle income","Commonwealth of Independent States"
"LAO","Lao PDR","Economy","Lower-middle income","Emerging and Developing Asia"
"LVA","Latvia","Economy","High income","Advanced economies"
"LBN","Lebanon","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"LSO","Lesotho","Economy","Lower-middle income","Sub-Saharan Africa"
"LBR","Liberia","Economy","Low income","Sub-Saharan Africa"
"LBY","Libya","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"LTU","Lithuania","Economy","High income","Advanced economies"
"LUX","Luxembourg","Economy","High income","Advanced economies"
"MKD","Macedonia, FYR","Economy","Upper-middle income","Emerging and Developing Europe"
"MDG","Madagascar","Economy","Low income","Sub-Saharan Africa"
"MWI","Malawi","Economy","Low income","Sub-Saharan Africa"
"MYS","Malaysia","Economy","Upper-middle income","Emerging and Developing Asia"
"MLI","Mali","Economy","Low income","Sub-Saharan Africa"
"MLT","Malta","Economy","High income","Advanced economies"
"MRT","Mauritania","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"MUS","Mauritius","Economy","Upper-middle income","Sub-Saharan Africa"
"MEX","Mexico","Economy","Upper-middle income","Latin America and the Caribbean"
"MDA","Moldova","Economy","Lower-middle income","Commonwealth of Independent States"
"MNG","Mongolia","Economy","Upper-middle income","Emerging and Developing Asia"
"MNE","Montenegro","Economy","Upper-middle income","Emerging and Developing Europe"
"MAR","Morocco","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"MOZ","Mozambique","Economy","Low income","Sub-Saharan Africa"
"MMR","Myanmar","Economy","Lower-middle income","Emerging and Developing Asia"
"NAM","Namibia","Economy","Upper-middle income","Sub-Saharan Africa"
"NPL","Nepal","Economy","Low income","Emerging and Developing Asia"
"NLD","Netherlands","Economy","High income","Advanced economies"
"NZL","New Zealand","Economy","High income","Advanced economies"
"NIC","Nicaragua","Economy","Lower-middle income","Latin America and the Caribbean"
"NGA","Nigeria","Economy","Lower-middle income","Sub-Saharan Africa"
"NOR","Norway","Economy","High income","Advanced economies"
"OMN","Oman","Economy","High income","Middle East, North Africa, and Pakistan"
"PAK","Pakistan","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"PAN","Panama","Economy","Upper-middle income","Latin America and the Caribbean"
"PRY","Paraguay","Economy","Upper-middle income","Latin America and the Caribbean"
"PER","Peru","Economy","Upper-middle income","Latin America and the Caribbean"
"PHL","Philippines","Economy","Lower-middle income","Emerging and Developing Asia"
"POL","Poland","Economy","High income","Emerging and Developing Europe"
"PRT","Portugal","Economy","High income","Advanced economies"
"PRI","Puerto Rico","Economy","High income",
"QAT","Qatar","Economy","High income","Middle East, North Africa, and Pakistan"
"ROU","Romania","Economy","Upper-middle income","Emerging and Developing Europe"
"RUS","Russian Federation","Economy","High income","Commonwealth of Independent States"
"RWA","Rwanda","Economy","Low income","Sub-Saharan Africa"
"SAU","Saudi Arabia","Economy","High income","Middle East, North Africa, and Pakistan"
"SEN","Senegal","Economy","Lower-middle income","Sub-Saharan Africa"
"SRB","Serbia","Economy","Upper-middle income","Emerging and Developing Europe"
"SYC","Seychelles","Economy","High income","Sub-Saharan Africa"
"SLE","Sierra Leone","Economy","Low income","Sub-Saharan Africa"
"SGP","Singapore","Economy","High income","Advanced economies"
"SVK","Slovak Republic","Economy","High income","Advanced economies"
"SVN","Slovenia","Economy","High income","Advanced economies"
"ZAF","South Africa","Economy","Upper-middle income","Sub-Saharan Africa"
"ESP","Spain","Economy","High income","Advanced economies"
"LKA","Sri Lanka","Economy","Lower-middle income","Emerging and Developing Asia"
"SUR","Suriname","Economy","Upper-middle income","Latin America and the Caribbean"
"SWZ","Swaziland","Economy","Lower-middle income","Sub-Saharan Africa"
"SWE","Sweden","Economy","High income","Advanced economies"
"CHE","Switzerland","Economy","High income","Advanced economies"
"SYR","Syria","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"TWN","Taiwan, China","Economy","High income","Advanced economies"
"TJK","Tajikistan","Economy","Lower-middle income","Commonwealth of Independent States"
"TZA","Tanzania","Economy","Low income","Sub-Saharan Africa"
"THA","Thailand","Economy","Upper-middle income","Emerging and Developing Asia"
"TLS","Timor-leste","Economy","Lower-middle income","Emerging and Developing Asia"
"TTO","Trinidad and Tobago","Economy","High income","Latin America and the Caribbean"
"TUN","Tunisia","Economy","Upper-middle income","Middle East, North Africa, and Pakistan"
"TUR","Turkey","Economy","Upper-middle income","Emerging and Developing Europe"
"UGA","Uganda","Economy","Low income","Sub-Saharan Africa"
"UKR","Ukraine","Economy","Lower-middle income","Commonwealth of Independent States"
"ARE","United Arab Emirates","Economy","High income","Middle East, North Africa, and Pakistan"
"GBR","United Kingdom","Economy","High income","Advanced economies"
"USA","United States","Economy","High income","Advanced economies"
"URY","Uruguay","Economy","High income","Latin America and the Caribbean"
"VEN","Venezuela","Economy","High income","Latin America and the Caribbean"
"VNM","Vietnam","Economy","Lower-middle income","Emerging and Developing Asia"
"YEM","Yemen","Economy","Lower-middle income","Middle East, North Africa, and Pakistan"
"ZMB","Zambia","Economy","Lower-middle income","Sub-Saharan Africa"
"ZWE","Zimbabwe","Economy","Low income","Sub-Saharan Africa"
